KB672413	AALBS	CDS	5	6664	.	-	0	AALB000001-RA	AALB000001-PA	AALB000001	AALBS:000001
KB672413	AALBS	CDS	18714	19395	.	+	0	AALB000004-RA	AALB000004-PA	AALB000004	AALBS:000004
KB672413	AALBS	CDS	19471	19994	.	+	2	AALB000004-RA	AALB000004-PA	AALB000004	AALBS:000004
KB672413	AALBS	CDS	20069	20335	.	+	0	AALB000004-RA	AALB000004-PA	AALB000004	AALBS:000004
KB672413	AALBS	CDS	92391	93578	.	+	0	AALB000007-RA	AALB000007-PA	AALB000007	AALBS:000007
KB672413	AALBS	CDS	93649	94085	.	+	0	AALB000007-RA	AALB000007-PA	AALB000007	AALBS:000007
KB672413	AALBS	CDS	94168	94306	.	+	1	AALB000007-RA	AALB000007-PA	AALB000007	AALBS:000007
KB672413	AALBS	CDS	257913	257919	.	-	0	AALB000009-RA	AALB000009-PA	AALB000009	AALBS:000009
KB672413	AALBS	CDS	257631	257851	.	-	2	AALB000009-RA	AALB000009-PA	AALB000009	AALBS:000009
KB672413	AALBS	CDS	256854	257557	.	-	0	AALB000009-RA	AALB000009-PA	AALB000009	AALBS:000009
KB672413	AALBS	CDS	256625	256769	.	-	1	AALB000009-RA	AALB000009-PA	AALB000009	AALBS:000009
KB672413	AALBS	CDS	256300	256492	.	-	0	AALB000009-RA	AALB000009-PA	AALB000009	AALBS:000009
KB672413	AALBS	CDS	256005	256210	.	-	2	AALB000009-RA	AALB000009-PA	AALB000009	AALBS:000009
KB672413	AALBS	CDS	419555	419561	.	+	0	AALB000015-RA	AALB000015-PA	AALB000015	AALBS:000015
KB672413	AALBS	CDS	420036	421459	.	+	2	AALB000015-RA	AALB000015-PA	AALB000015	AALBS:000015
KB672413	AALBS	CDS	429890	430040	.	-	0	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	429592	429779	.	-	2	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	429367	429462	.	-	0	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	427240	427467	.	-	0	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	426762	426928	.	-	0	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	426228	426656	.	-	1	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	425879	426143	.	-	1	AALB000017-RA	AALB000017-PA	AALB000017	AALBS:000017
KB672413	AALBS	CDS	435375	437159	.	+	0	AALB000018-RA	AALB000018-PA	AALB000018	AALBS:000018
KB672413	AALBS	CDS	453183	453293	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	452082	452201	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	451475	451615	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	451223	451387	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	448141	448341	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	447917	448046	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	447734	447843	.	-	2	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	447429	447655	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	446049	447351	.	-	1	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	445878	445973	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	445323	445790	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	444281	445043	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	443860	444211	.	-	2	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	443166	443754	.	-	1	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	442916	443092	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	442418	442845	.	-	0	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	442260	442342	.	-	1	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	440552	440565	.	-	2	AALB000019-RA	AALB000019-PA	AALB000019	AALBS:000019
KB672413	AALBS	CDS	457571	458173	.	+	0	AALB000021-RA	AALB000021-PA	AALB000021	AALBS:000021
KB672413	AALBS	CDS	458238	458578	.	+	0	AALB000021-RA	AALB000021-PA	AALB000021	AALBS:000021
KB672413	AALBS	CDS	460371	460639	.	+	1	AALB000021-RA	AALB000021-PA	AALB000021	AALBS:000021
KB672413	AALBS	CDS	460715	460929	.	+	2	AALB000021-RA	AALB000021-PA	AALB000021	AALBS:000021
KB672413	AALBS	CDS	461000	461334	.	+	0	AALB000021-RA	AALB000021-PA	AALB000021	AALBS:000021
KB672413	AALBS	CDS	461414	461792	.	+	1	AALB000021-RA	AALB000021-PA	AALB000021	AALBS:000021
KB672413	AALBS	CDS	554269	554335	.	+	0	AALB000025-RA	AALB000025-PA	AALB000025	AALBS:000025
KB672413	AALBS	CDS	554410	554963	.	+	2	AALB000025-RA	AALB000025-PA	AALB000025	AALBS:000025
KB672413	AALBS	CDS	557010	557171	.	-	0	AALB000026-RA	AALB000026-PA	AALB000026	AALBS:000026
KB672413	AALBS	CDS	556445	556568	.	-	0	AALB000026-RA	AALB000026-PA	AALB000026	AALBS:000026
KB672413	AALBS	CDS	556197	556382	.	-	2	AALB000026-RA	AALB000026-PA	AALB000026	AALBS:000026
KB672413	AALBS	CDS	555311	556131	.	-	2	AALB000026-RA	AALB000026-PA	AALB000026	AALBS:000026
KB672413	AALBS	CDS	557974	558134	.	+	0	AALB000027-RA	AALB000027-PA	AALB000027	AALBS:000027
KB672413	AALBS	CDS	558996	559656	.	+	1	AALB000027-RA	AALB000027-PA	AALB000027	AALBS:000027
KB672413	AALBS	CDS	559740	562143	.	+	0	AALB000027-RA	AALB000027-PA	AALB000027	AALBS:000027
KB672413	AALBS	CDS	562223	562352	.	+	2	AALB000027-RA	AALB000027-PA	AALB000027	AALBS:000027
KB672413	AALBS	CDS	562426	562499	.	+	1	AALB000027-RA	AALB000027-PA	AALB000027	AALBS:000027
KB672413	AALBS	CDS	562578	562711	.	+	2	AALB000027-RA	AALB000027-PA	AALB000027	AALBS:000027
KB672413	AALBS	CDS	567177	567183	.	-	0	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	565986	566731	.	-	2	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	564446	564591	.	-	0	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	564238	564373	.	-	1	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	564023	564167	.	-	0	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	563807	563952	.	-	2	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	563583	563741	.	-	0	AALB000028-RA	AALB000028-PA	AALB000028	AALBS:000028
KB672413	AALBS	CDS	586826	586863	.	-	0	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	584770	586058	.	-	1	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	583218	584689	.	-	2	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	583006	583138	.	-	0	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	582783	582941	.	-	2	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	582523	582710	.	-	2	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	578929	579058	.	-	0	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	577909	577997	.	-	2	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	577545	577836	.	-	0	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	577317	577463	.	-	2	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	577088	577245	.	-	2	AALB000030-RA	AALB000030-PA	AALB000030	AALBS:000030
KB672413	AALBS	CDS	588578	588724	.	+	0	AALB000031-RA	AALB000031-PA	AALB000031	AALBS:000031
KB672413	AALBS	CDS	590440	591317	.	+	0	AALB000031-RA	AALB000031-PA	AALB000031	AALBS:000031
KB672413	AALBS	CDS	591383	592196	.	+	1	AALB000031-RA	AALB000031-PA	AALB000031	AALBS:000031
KB672413	AALBS	CDS	592298	592466	.	+	0	AALB000031-RA	AALB000031-PA	AALB000031	AALBS:000031
KB672413	AALBS	CDS	592553	593226	.	+	2	AALB000031-RA	AALB000031-PA	AALB000031	AALBS:000031
KB672413	AALBS	CDS	593290	593934	.	+	0	AALB000031-RA	AALB000031-PA	AALB000031	AALBS:000031
KB672413	AALBS	CDS	596871	597317	.	+	0	AALB000032-RA	AALB000032-PA	AALB000032	AALBS:000032
KB672413	AALBS	CDS	597405	598240	.	+	0	AALB000032-RA	AALB000032-PA	AALB000032	AALBS:000032
KB672413	AALBS	CDS	598318	598408	.	+	1	AALB000032-RA	AALB000032-PA	AALB000032	AALBS:000032
KB672413	AALBS	CDS	598476	598628	.	+	0	AALB000032-RA	AALB000032-PA	AALB000032	AALBS:000032
KB672413	AALBS	CDS	601412	601663	.	-	0	AALB000033-RA	AALB000033-PA	AALB000033	AALBS:000033
KB672413	AALBS	CDS	601269	601346	.	-	0	AALB000033-RA	AALB000033-PA	AALB000033	AALBS:000033
KB672413	AALBS	CDS	601141	601193	.	-	0	AALB000033-RA	AALB000033-PA	AALB000033	AALBS:000033
KB672413	AALBS	CDS	599494	601058	.	-	1	AALB000033-RA	AALB000033-PA	AALB000033	AALBS:000033
KB672413	AALBS	CDS	599188	599393	.	-	2	AALB000033-RA	AALB000033-PA	AALB000033	AALBS:000033
KB672413	AALBS	CDS	599011	599100	.	-	0	AALB000033-RA	AALB000033-PA	AALB000033	AALBS:000033
KB672413	AALBS	CDS	603262	603312	.	+	0	AALB000034-RA	AALB000034-PA	AALB000034	AALBS:000034
KB672413	AALBS	CDS	604140	604285	.	+	0	AALB000034-RA	AALB000034-PA	AALB000034	AALBS:000034
KB672413	AALBS	CDS	607444	607522	.	+	1	AALB000034-RA	AALB000034-PA	AALB000034	AALBS:000034
KB672413	AALBS	CDS	607609	608910	.	+	0	AALB000034-RA	AALB000034-PA	AALB000034	AALBS:000034
KB672413	AALBS	CDS	610410	610460	.	+	0	AALB000034-RA	AALB000034-PA	AALB000034	AALBS:000034
KB672413	AALBS	CDS	610527	612110	.	+	0	AALB000034-RA	AALB000034-PA	AALB000034	AALBS:000034
KB672413	AALBS	CDS	619325	619366	.	+	0	AALB000036-RA	AALB000036-PA	AALB000036	AALBS:000036
KB672413	AALBS	CDS	619434	619796	.	+	0	AALB000036-RA	AALB000036-PA	AALB000036	AALBS:000036
KB672413	AALBS	CDS	665240	665244	.	-	0	AALB000037-RA	AALB000037-PA	AALB000037	AALBS:000037
KB672413	AALBS	CDS	662250	663318	.	-	1	AALB000037-RA	AALB000037-PA	AALB000037	AALBS:000037
KB672413	AALBS	CDS	675241	675280	.	-	0	AALB000039-RA	AALB000039-PA	AALB000039	AALBS:000039
KB672413	AALBS	CDS	673560	675184	.	-	2	AALB000039-RA	AALB000039-PA	AALB000039	AALBS:000039
KB672413	AALBS	CDS	679368	679435	.	-	0	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	679167	679234	.	-	1	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	678565	678946	.	-	2	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	678236	678499	.	-	1	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	677958	678144	.	-	1	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	677750	677886	.	-	0	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	676224	676697	.	-	1	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	675855	676146	.	-	1	AALB000040-RA	AALB000040-PA	AALB000040	AALBS:000040
KB672413	AALBS	CDS	680559	682757	.	+	0	AALB000041-RA	AALB000041-PA	AALB000041	AALBS:000041
KB672413	AALBS	CDS	697695	698358	.	-	0	AALB000045-RA	AALB000045-PA	AALB000045	AALBS:000045
KB672413	AALBS	CDS	695378	697612	.	-	2	AALB000045-RA	AALB000045-PA	AALB000045	AALBS:000045
KB672413	AALBS	CDS	694980	695295	.	-	2	AALB000045-RA	AALB000045-PA	AALB000045	AALBS:000045
